Sr. No.,Insurer Name,Product Name,Eligibility Criteria,,,,,,,,,Plan Options,,,,,,Riders,,,,,
,,,Minimum Entry Age,Maximum Entry Age,Annual,Half Yearly,Quaterly,Single,Policy Term,Minimum Sum Assured,Maximum Sum Assured,Level Cover,Increasing cover,Life cover (Lumpsum+Income),Return of premium,Joint Life,TULIP,Accidental Death Benefit,Accelerated Disability Rider,Critical Illness Rider,Hospi Cash Rider,Waiver of Premium in case of Critical Illness,Terminal Illness
,Kotak Mahindra Life Insurance,Gen2Gen Protect,18,50,Yes,Yes,Yes,No,To age 60/65/70/75,2500000,No Limit (BAUP),"Yes (Life ROP, Legacy ROP)",No,No,Yes,Yes (Joint Life Child),No,"Yes (ADB, PDB, CI)",Yes,Yes,No,Yes,No
,Kotak Mahindra Life Insurance,Term Plan,18,65,Yes,Yes,Yes,Yes,5 to 30 years,300000,2500000,Yes,No,No,No,No,No,"Yes (ADB, PDB, CI)",Yes,No,No,Yes,No
,Kotak Mahindra Life Insurance,e-Term Plan,18,65,Yes,Yes,Yes,Yes,5 to 85 age,1000000,No Limit (BAUP),"Yes (Life, Life Plus, Life Secure)",No,Yes (3 payout options),No,No,Yes (Exit at 60),"Yes (PDB, CI)",Yes (inbuilt),Yes,No,Yes (TPD waiver),No
6,Aditya Birla Sun Life Insurance,Income Suraksha Plan,21,55,Yes,Yes,Yes,No,PPT+5 to 49 years,2500000,No Limit (BAUP),Yes (Fixed/Increasing Income),No,Yes (Monthly),No,No,No,"Yes (ADB, CI, WOP)",Yes,Yes,No,Yes,No
,Aditya Birla Sun Life Insurance,Salaried Term Plan,21,55,Yes,Yes,Yes,No,10 to 70 age,2500000,No Limit (BAUP),Yes (Life/ROP/Fixed Inc/Inc Inc),No,Yes,Yes (ROP),No,No,"Yes (ADB, CI)",Yes,Yes,No,Yes,Yes
,Aditya Birla Sun Life Insurance,Life Shield Plan,18,65,Yes,Yes,Yes,Yes,10-55 years,2500000,No Limit (BAUP),"Yes (8 opts, ROP, Joint)",No,No,Yes (ROP),Yes (Spouse),No,"Yes (CI, Surgical, ADB)",Yes,Yes,No,Yes,Yes
,Aditya Birla Sun Life Insurance,Super Term Plan,18,65,Yes,Yes,Yes,No,10-85 age,2500000,No Limit (BAUP),Yes (Level/Inc/ROP),Yes,Yes (Lump+Inc),Yes (ROP),No,Yes (Early Exit),Yes,Yes,Yes,No,Yes (TI/ATPD),Yes
,Aditya Birla Sun Life Insurance,Poorna Suraksha Kawach,18,65,Yes,Yes,Yes,Yes,5-85 age,30000000,No Limit (BAUP),Yes (6 opts Level/Inc/ROP),Yes,No,Yes (ROP/EROP),No,Yes (OTEV),Yes (ACI 42 CI),Yes,Yes,No,Yes (CI/TPD),Yes
7,Tata AIA Life Insurance,Maha Raksha Supreme Select,18,65,Yes,Yes,Yes,Yes,13-100 age (months 156-1200),2500000,No Limit (BAUP),Yes (Life/Plus/Joint/Step-up/Legacy),Yes (Inc Cover options),Yes (Lump+Income),Yes (Plus/ROP-type),Yes (Joint Life),Yes (FlexiPay etc.),Yes (Comprehensive health/wellness),Yes,Yes,No,Yes (TI/WOP),Yes
,Tata AIA Life Insurance,Sampoorna Raksha Promise,18,65,Yes,Yes,Yes,Yes,13-100 age (months 156-1200),2500000,No Limit (BAUP),Yes (Life/Plus/Joint),Yes (Inc Cover options),Yes (Lump+Income),Yes (Plus/ROP-type),Yes (Joint Life/Family),Yes (FlexiPay/Family plan),Yes (Comprehensive),Yes,Yes,No,Yes (TI/WOP),Yes
,Tata AIA Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5-40 years,500000,4950000,No (simple term),Yes (basic level cover),No,No,No,No,Yes (optional riders),Yes,No,No,No explicit CI/WOP,No
8,SBI Life Insurance,Smart Shield Premier,18,65,Yes,Yes,Yes,Yes,5-85 years,2500000,No Limit (BAUP),Yes (Level/Increasing),Yes,Yes (Lump+Installments),No,No,No,Yes (Accident Benefit Rider),Yes,No,No,No explicit CI/WOP,No
,SBI Life Insurance,Smart Shield Plus,18,65,Yes,Yes,Yes,Yes,10-100 years,2500000,No Limit (BAUP),Yes (Level/Increasing/Future Proofing),Yes,"Yes (Lump+Income, Better Half)",No ROP,Yes (Better Half / Joint),Yes (Future Proofing),Yes (Accident Benefit Rider),Yes,No,No,No explicit CI/WOP,No
,SBI Life Insurance,eShield Insta,18,50,Yes,No,No,No,10 years,1000000,4000000,Yes (Pure / ROP),Yes,No,Yes (ROP option),No,No,No separate riders,No,No,No,No,No
,SBI Life Insurance,Smart Swadhan Supreme,18,60,Yes,Yes,Yes,No,10-30 years,2500000,No Limit (BAUP),ROP savings term,No (ROP focus),No,Yes (100% ROP),No,No,Yes (Accident Benefit Rider),Yes,No,No,No,No
,SBI Life Insurance,Smart Swadhan Neo,18,50,Yes,Yes,Yes,Yes,15-30 years,500000,2490000,ROP savings term (SP/LPPT/RP),No,No,Yes (100% ROP),No,No,Yes (Accident Benefit Rider),Yes,No,No,No,No
,SBI Life Insurance,Saral Swadhan Supreme,18,50,Yes,Yes,No,No,10-30 years,2500000,5000000,ROP savings term,No,No,Yes (100% ROP),No,No,Yes (Accident Benefit Rider),Yes,No,No,No,No
,SBI Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,Yes,Yes,5-40 years,500000,2500000,Standard pure term,Yes,No,No,No,No,No riders,No,No,No,No,No
9,Bajaj Allianz Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,Yes,Yes,5-40 years,500000,2500000,Standard pure term,Yes,No,No,No,No,No,No,No,No,No,No
,Bajaj Allianz Life Insurance,eTouch II (Life Shield),18,65,Yes,Yes,Yes,Yes,10-99 age,5000000,No Limit (BAUP),Life Shield / Plus / ROP,Yes,Yes (Lump+Income),Yes (ROP),No,Yes (Premium Holiday),Yes (comprehensive),Yes,Yes,No,Yes (WOP ATPD/TI),Yes (TI)
,Bajaj Allianz Life Insurance,iSecure II,18,65,Yes,Yes,Yes,Yes,10-85 age,1000000,No Limit (BAUP),Life / ROP / Easy,Yes,Yes (Lump+Income),Yes (ROP),No,Yes (Auto Cover Continuance),"Yes (ADB, APD, CI, Family)",Yes,Yes,No,Yes,Yes
10,PNB MetLife,Mera Term Plan Plus,18,65,Yes,Yes,Yes,Yes,10-99 age (max 40 for ROP),2500000,No Limit (BAUP),Life / Life Plus / Life Plus Health,Yes,Yes (Lump/Income),Yes (ROP optional),Yes (Spouse cover),Yes (Step-up/Lifestage/Child Ed),Yes (additional riders),Yes,Yes (ATPD WOP),Yes (CI WOP),Yes (CI / ACI),Yes (TI)
,PNB MetLife,Mera Jeevan Suraksha Plan,18,65,Yes,Yes,Yes,No,10-40 years (30 if ROP),2500000,No Limit (BAUP),"4 payout options (Lump, Life Partner, Fixed, Increasing)",Yes,Yes (Income options),Yes (ROP optional),Yes (Joint life),No,Yes (company riders),No explicit ADB,No,No,No explicit CI rider,Yes (TI inbuilt)
,PNB MetLife,POS Suraksha,18,65,Yes,Yes,Yes,No,10-15 years,50000,2500000,ROP POS savings,No,Yes (Monthly Income),Yes (100% ROP),No,No,No riders,No,No,No,No,No
,PNB MetLife,DigiProtect Term Plan,18,60,Yes,Yes,Yes,No,10 to 67 years,5000000,No Limit,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes
,PNB MetLife,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,500000,5000000,Yes,No,No,No,No,No,No,No,No,No,No,No
,PNB MetLife,Aajeevan Suraksha,18,65,Yes,Yes,Yes,Yes,10 to 40 years or Whole Life (up to age 99),2500000,No Limit,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
11,IndusInd Nippon Life,Super Suraksha Plus,18,60,Yes,Yes,Yes,No,20 to 50 years,5000000,No Limit (BAUP),Yes,Yes,Yes,Yes (Life Plus),No,No,Yes (Rider),Yes (Rider),Yes (Rider),No,No,No
,IndusInd Nippon Life,Super Suraksha,18,55,Yes,Yes,Yes,No,10 to 55 years,2500000,No Limit (BAUP),Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes
,IndusInd Nippon Life,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,500000,2500000,Yes,No,No,No,No,No,No,No,No,No,No,No
,IndusInd Nippon Life,Super Suraksha Elite,18,60,Yes,Yes,Yes,No,20 to 50 years,20000000,No Limit (BAUP),Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
12,Aviva Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,500000,2500000,Yes,No,No,No,No,No,No,No,No,No,No,No
,Aviva Life Insurance,Signature 3D Term Plan - Platinum,18,65,Yes,Yes,Yes,Yes,10 to 62 years,2500000,50000000,Yes,No,No,No,No,No,Yes (Rider),No,Yes (Rider),No,No,No
,Aviva Life Insurance,Signature 3D Term Plan,18,65,Yes,Yes,Yes,No,10 to 62 years,500000,No Limit (BAUP),Yes,Yes,Yes,Yes,No,No,Yes (Rider),Yes (WOP),Yes (Rider),No,Yes,Yes
,Aviva Life Insurance,LifeShield Advantage,18,55,Yes,Yes,Yes,Yes,10 to 30 years,200000,No Limit (BAUP),Yes,No,No,Yes,No,No,Yes (Option B),Yes (Option B),No,No,No,No
13,Shriram Life,My Spouse Term Plan,18,55,Yes,Yes,Yes,No,10 to 57 years,"25,00,000",10 Crore,Yes,No,No,No,Yes,No,Yes (Optional),Yes (Inbuilt WOP),Yes (Optional),No,No,Yes (Inbuilt)
,Shriram Life,Smart Protection Plan,18,65,Yes,Yes,Yes,No,1 to 30 years,"1,00,000",No Limit (BAUP),Yes,No,No,No,No,No,Yes (Gold),No,Yes (Diamond),No,Yes (Diamond),No
,Shriram Life,Online Term Plan,18,55,Yes,Yes,Yes,No,10 to 57 years,"25,00,000",10 Crore,Yes,No,Yes (Option iii),No,No,No,Yes (Optional),Yes (Inbuilt WOP),Yes (Optional),No,No,Yes (Inbuilt)
,Shriram Life,Family Protection Plan,18,60,Yes,No,No,No,10 to 25 years,"10,00,000",5 Crore,Yes,No,Yes (Option 2),No,No,No,No,No,No,No,No,No
,Shriram Life,Cash Back Term Plan,21,50,Yes,Yes,Yes,No,"10, 15, 20, 25 years","1,00,000",No Limit (BAUP),Yes,No,No,Yes (Maturity),No,No,Yes (Rider),Yes (Rider),Yes (Rider),No,No,No
14,Bharti AXA Life,Flexi Term Pro,18,65,Yes,Yes,Yes,Yes,1 to 50 years or to Age 99,"25,00,000",No Limit (BAUP),Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
,Bharti AXA Life,Life Suraksha,18,65,Yes,Yes,Yes,Yes,1 to 50 years or to Age 99,"5,00,000",No Limit (BAUP),Yes,Yes,Yes,Yes,Yes,No,Yes (Rider),No,Yes (Rider),Yes (Rider),Yes (Rider),No
,Bharti AXA Life,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","50,00,000",Yes,No,No,No,No,No,Yes (Rider),Yes (Rider),No,No,No,No
,Bharti AXA Life,Grameen Jeevan Bima,18,60,Yes,Yes,Yes,Yes,5 or 10 years,"10,000","2,00,000",Yes,No,No,Yes,No,No,Yes (Rider),Yes (Rider),Yes (Rider),Yes (Rider),Yes (Rider),No
15,Future Generali,Term with Return of Premium,18,55,Yes,Yes,Yes,No,10 to 35 years,"2,00,000",No Limit (BAUP),Yes,No,Yes (Option B),Yes (100%-115%),No,No,Yes (Rider),No,No,No,No,No
,Future Generali,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","25,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,Future Generali,Care Plus,18,65,Yes,Yes,Yes,No,5 to 67 years,"25,00,000",No Limit (BAUP),Yes,No,Yes,No,No,No,Yes (Option 2),No,No,No,No,No
16,Ageas Federal,Super Protect Plan,18,65,Yes,Yes,Yes,Yes,10 to 67 years,"50,00,000",No Limit (BAUP),Yes,Yes,Yes (Nominee Option),Yes (Plan 2),Yes,No,Yes (Rider),No,Yes (Rider),No,No,No
,Ageas Federal,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","25,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,Ageas Federal,Termsurance Life Protection,18,60,Yes,Yes,Yes,Yes,10 to 30 years,"5,00,000",No Limit (BAUP),Yes,No,No,Yes (Option 2),No,No,No,No,No,No,No,No
,Ageas Federal,iSecure Plan,21,65,Yes,Yes,No,Yes,10 to 64 years,"50,00,000",No Limit (BAUP),Yes,Yes (Life Stage),No,Yes (Option 2),No,No,Yes (Add-on),No,No,No,No,No
17,Pramerica Life Insurance,RockSolid Term Insurance,18,65,Yes,Yes,No,Yes,10 to 30 years or to Age 85,"50,00,000",No Limit (BAUP),Yes,Yes,Yes,No,Yes (Spouse Cover),No,Yes (Rider),Yes (Rider),Yes (Rider),No,No,No
,Pramerica Life Insurance,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","25,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
18,SUD Life,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","25,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,SUD Life,Smart Term Plan,18,65,Yes,Yes,Yes,No,10 to 50 years,"25,00,000",No Limit (BAUP),Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
,SUD Life,Simple Term Plan,18,45,Yes,No,No,No,5 and 10 years,"5,00,000","20,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,SUD Life,Protect Shield Plus,18,60,Yes,Yes,Yes,Yes,5 to 40 years,"1,00,00,000","2,00,00,000",Yes,No,No,No,No,No,Yes (Option 2),No,No,No,No,No
,SUD Life,e-Lifeline Term Insurance Plan,18,60,Yes,Yes,Yes,No,10 to 40 years,"25,00,000","50,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
19,IndiaFirst Life,Protect Shield Plan,18,39,Yes,No,No,No,1 to 10 years,"1,00,000","10,00,000",Yes,No,No,No,No,No,Yes (Rider),No,No,No,No,No
,IndiaFirst Life,Super Protection Plan,18,65,Yes,Yes,Yes,Yes,10 to 81 years,"25,00,000",No Limit (BAUP),Yes,Yes (Life Stage),Yes,Yes (Option 2),Yes,No,Yes (Rider),Yes (Rider),No,No,Yes (CI/TPD),Yes (Inbuilt)
,IndiaFirst Life,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","50,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,IndiaFirst Life,Elite Term Plan,18,65,Yes,Yes,Yes,No,5 to 81 years,"50,00,000",No Limit (BAUP),Yes,No,Yes,No,No,No,No,No,No,No,No,No
20,Edelweiss Tokio Life,Saral Jeevan Bima,18,65,Yes,Yes,No,Yes,5 to 40 years,"5,00,000","25,00,000",Yes,No,No,No,No,No,No,No,No,No,No,No
,Edelweiss Tokio Life,Zindagi Protect Plus,18,65,Yes,Yes,Yes,No,10 to 100 years,"50,00,000",No Limit (BAUP),Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
21,ACKO Life,Flexi Term Plan,18,65,Yes,Yes,No,Yes,5 to 67 years,"50,00,000",No Limit (BAUP),Yes,Yes (Annual Change),Yes,No,No,No,Yes (Rider),Yes (Rider),Yes (Rider),No,Yes,No
22,Go Digit Life,Digit Glow Lite,18,65,Yes,Yes,Yes,Yes,1-40 years (min 5 POS),"25,000",200000,Micro term pure risk,Yes (lump sum),No income option,No ROP,No,Wellness benefits,Inbuilt optional ADB/ATPD/TI,Yes (ADB optional),Yes (ATPD optional),No CI rider,No,Yes (TI optional accelerated)
,Go Digit Life,Digit Glow Plus,18,65,Yes,Yes,Yes,Yes,1-67 years (10-67 POS),"10,00,000",No Limit (BAUP),Term / Term with ROP,Yes (lump sum),No income option,Yes (ROP variant),No,Pay Later / Smart Exit / Wellness,Optional ADB / ATPD,Yes (ADB optional),Yes (ATPD optional),No CI rider,No,Yes (inbuilt TI + WOP)
,Go Digit Life,Digit Glow,18,65,Yes,Yes,Yes,Yes,1 to 40 years,"2,25,000",10000000,Yes,No,No,No,No,No,Yes (Optional),Yes (Optional),No,No,No,Yes (Accelerated)
23,Bandhan Life,Bandhan iTerm Prime,18,65,Yes,Yes,Yes,No,5-70 less entry age,"25,00,000",No Limit (BAUP),Pure term with Special Exit Value,Yes (lump sum),No income option,No ROP (SEV feature),No,Special Exit Value at 55,Bandhan Life AD Rider (ADB),Yes (ADB rider),No,No,No,No
,Bandhan Life,Bandhan iTerm Return of Premium,18,60,Yes,Yes,Yes,No,10-50 years (max 85 at maturity),"25,00,000",No Limit (BAUP),Term with full ROP at maturity,Yes (lump sum),No income option,Yes (100% ROP),No,Discounts / women benefit,Not explicit (term only),No explicit ADB,No,No,No,No
,Bandhan Life,Bandhan iTerm Comfort,18,65,Yes,Yes,Yes,No,5-70 less entry age,"25,00,000",12500000,Pure term with Special Exit Value,Yes (lump sum),No income option,No ROP (SEV feature),No,Special Exit Value at 55,Bandhan Life AD Rider (ADB),Yes (ADB rider),No,No,No,No
24,Canara HSBC Life,Young Term Plan,18,65,Yes,Yes,Yes,Yes,10-40 years+ (specific),"1,00,00,000",No Limit (BAUP),Life Secure / Life Secure ROP,Level / Increasing,Yes (installments),Yes ROP option,Yes (Spouse),Life Stage Enhancement,Optional inbuilt ADB/ATPD/TI/CCB/BYP,Yes,Yes (ATPD WOP),No explicit CI,Child Care Benefit,Terminal Illness
,Canara HSBC Life,Promise2Protect Term Plan,18,65,Yes,Yes,Yes,Yes,40 years example,"1,00,00,000",No Limit (BAUP),Life Secure / Life Secure ROP,Level / Increasing,Yes (lump or installments),Yes ROP,Yes (Spouse),Life Stage Enhancement,Optional inbuilt ADB/ATPD/TI,Yes,Yes,No,No,Yes
,Canara HSBC Life,iSelect Smart360 Term Plan,18,65,Yes,Yes,Yes,Yes,To age 99,"1,00,00,000",No Limit (BAUP),Life Secure / Income / ROP,Level / Increasing,Yes (steady income at 60),Yes ROP,Yes (Spouse),Block Premium / Child Care,Optional inbuilt ADB/ATPD/TI/CCB,Yes,Yes,No,Child Care,Yes
